sent_id,sent,anno
6,但#新一代#的#你#又#知道#哪#幾#位#明日#之#星#呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,陳政錡#在#場#上#就#像是#溫暖#小太陽,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O
12,加上#白皙#帥氣#外型#、#高挑#身材,O O O O O O O O O O O O O O O O O O O
14,是#新一代#的#人氣王#之#一,O O O O O O O O O O O O O O O
19,「#自由男神#」#李佳軒#其實#早已#是#大前輩#、#大學#長,O O B-PERSON I-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O
35,迷妹#們#也#忍不住#「#姨母#笑#」#噴發,O O O O O O O O O O O O O O O O O O O O O O
36,挺#鼻#、#深邃#五官#的#小#鮮肉#標#配,O O O O O O O O O O O O O O O O O O O O O O
44,升上#高中#後#不只#在#聯賽#大放異彩,O O O O O O O O O O O O O O O O O O O O
47,李尼希米#才#加入#企排#第一#年,B-PERSON I-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O
52,加上#那#閃閃#發亮#的#笑容,O O O O O O O O O O O O O O O
54,濃眉大眼#、#高挺#鼻樑,O O O O O O O O O O O O
57,一#走出來#就#會#迷倒#一#票#妹子,O O O O O O O O O O O O O O O O O O O
72,中華#一#隊#13:9#領先,O O O O O O O O O O O O O O
77,第二#局#雖然#菲律賓#先馳得點,O O O O O O O O O O O O O O O O
78,黃素琴#救球#、#中華#一#隊#雙人攔網#穩住#接連#得分#15:7,B-PERSON I-PERSON I-PERSON O B-DEFENSE I-DEFENSE O O O O O O O O O O B-DEFENSE I-DEFENSE I-DEFENSE I-DEFENSE O O O O O O O O O O O O O O
87,並#迎來#加拿大籍#新#教練#劉海琦,O O O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON
99,「#給#我們#更多#想法,O O O O O O O O O O O O
102,或是#在#賽前#的#新#的#東西,O O O O O O O O O O O O O O O O
110,也#還是#照#打#啊,O O O O O O O O O O
111,要#拿#冠軍,O O O O O O
118,自己#以#學長#身分#觀察陣#中#學弟,O O O O O O O O O O O O O O O O O O O
125,若是#能#針對#配球#再#調整,O O O O O O O O O O O O O O O
126,下#半#季#我們#其實#是#有#機會#成為#一#支#黑馬#球隊#的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
127,第二#場#比賽#conti#面對到#男子組#老大哥#台電#公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
128,球員#卯足#拚勁#攻守,O O O O O O O O O O O
137,conti隊#氣勢#受到#打擊,O O O O O O O O O O O O O O O
153,今日#以#直落#三#的#局數#(#25:21#、#25:18#、#25:20#)#迅速#從#conti隊#手#中#搶下#勝利,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
167,但#可以#看到#得#是,O O O O O O O O O O O
175,提振#球隊#士氣,O O O O O O O O
188,第一#週#到#現在,O O O O O O O O O
189,也#能#看出來#他#一直#有#在#勇於#突破,O O O O O O O O O O O O O O O O O O O O O O
