team,player,position,captain
屏東台電男排,黃正良,副攻手,0
屏東台電男排,黃宇晨,舉球員,0
屏東台電男排,李佳軒,自由球員,0
屏東台電男排,詹旻翰,主攻手,0
屏東台電男排,戴儒謙,舉球員,1
屏東台電男排,莊邵捷,中間手,0
屏東台電男排,蔡沛彰,中間手,0
屏東台電男排,曾茂聰,副攻手,0
屏東台電男排,洪宇叡,主攻手,0
屏東台電男排,顏振富,中間手,0
屏東台電男排,陳玠廷,自由球員,0
屏東台電男排,許紋誠,主攻手,0
屏東台電男排,林宜暉,中間手,0
台中太陽神,黃韋程,舉球員,1
台中太陽神,陳恩得,副攻手,0
台中太陽神,陳昭銘,主攻手,0
台中太陽神,高偉誠,主攻手,0
台中太陽神,簡偉倫,自由球員,0
台中太陽神,吳宗軒,副攻手,0
台中太陽神,高得益,舉球員,0
台中太陽神,黃柏叡,自由球員,0
台中太陽神,林昱丞,中間手,0
台中太陽神,施宗諭,中間手,0
台中太陽神,李修瑜,主攻手,0
台中太陽神,柯宗甫,中間手,0
台中太陽神,林韋翔,中間手,0
台中太陽神,黃士展,主攻手,0
台中太陽神,焦璿誠,主攻手,0
桃園台灣產險,李尼希米,主攻手,0
桃園台灣產險,陳柏勳,主攻手,0
桃園台灣產險,陳政錡,中間手,0
桃園台灣產險,林謙,舉球員,0
桃園台灣產險,許家騰,副攻手,0
桃園台灣產險,洪熙鈞,主攻手,1
桃園台灣產險,甘茂宏,中間手,0
桃園台灣產險,林錦龍,副攻手,0
桃園台灣產險,劉昱麟,主攻手,0
桃園台灣產險,曾祥銘,主攻手,0
桃園台灣產險,黃意凱,自由球員,0
桃園台灣產險,鄭玉森,自由球員,0
桃園台灣產險,劉少宇,舉球員,0
桃園台灣產險,陳冠中,中間手,0
桃園台灣產險,李權紘,副攻手,0
conti,陳朝璽,舉球員,0
conti,洪晨祐,自由球員,0
conti,郭柏毅,舉球員,0
conti,王俊傑,中間手,0
conti,朱凱逸,副攻手,0
conti,林聖恩,主攻手,0
conti,郭家銘,主攻手,0
conti,廖閎昇,中間手,0
conti,周子揚,中間手,1
conti,周冠宇,副攻手,0
conti,楊承恩,中間手,0
conti,雷諾,主攻手,0
conti,李瑋軒,自由球員,0
conti,鄭振堃,中間手,0
雲林美津濃,温逸凱,主攻手,0
雲林美津濃,林嘉偉,舉球員,0
雲林美津濃,周子洋,主攻手,0
雲林美津濃,陳安,舉球員,0
雲林美津濃,朱禹丞,副攻手,0
雲林美津濃,洪榮發,副攻手,1
雲林美津濃,蘇逢澤,自由球員,0
雲林美津濃,張祐晨,主攻手,0
雲林美津濃,莊岳祥,副攻手,0
雲林美津濃,林裕鈞,中間手,0
雲林美津濃,許廷恩,副攻手,0
雲林美津濃,許睿恩,中間手,0
雲林美津濃,柯凱傑,舉球員,0
雲林美津濃,許美中,主攻手,0
雲林美津濃,黃鷹,主攻手,0
連莊,布萊恩,主攻手,0
