sent_id,sent,anno
0,《#排球#少年#》#正當#紅,O O O O O O O O O O O O O O
1,日向#的#不#服輸#、#影山#的#王者範#、#隊友#們#不#放棄#一#球#一#球#的#守住#和#攻擊,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-DEFENSE I-DEFENSE O O O B-ATTACK I-ATTACK
2,早#就#讓#粉絲#跟著#球隊#感動#的#一#把#鼻涕#一#把#眼淚#、#激動#的#放聲#尖叫,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3,而#隨著#世大運#的#熱潮,O O O O O O O O O O O O O
6,但#新一代#的#你#又#知道#哪#幾#位#明日#之#星#呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,陳政錡#在#場#上#就#像是#溫暖#小太陽,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O
9,隊友#得分#他#比#別人#更#開心,O O O O O O O O O O O O O O O O O
10,失分#時#也#會#鼓勵#隊友#調整#繼續#努力,O O O O O O O O O O O O O O O O O O O O O O O
11,有#著#192#身高#優勢#的#他,O O O O O O O O O O O O O O O O O
12,加上#白皙#帥氣#外型#、#高挑#身材,O O O O O O O O O O O O O O O O O O O
13,不論#是#攔網#、#攻擊#總是#能#輕易#抓住#粉絲#的#目光,O O O O O B-DEFENSE I-DEFENSE O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O
14,是#新一代#的#人氣王#之#一,O O O O O O O O O O O O O O O
15,陳政錡#過去#畢業#於#排球#名校#華僑#高中#就#是#發光#的#明日#之#星,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
18,中華#男排#有#強力#後援#李佳軒,O O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON
23,比賽#就#不會#輸#」#的#信念,O O O O O O O O O O O O O O O O
24,李佳軒#披#過#多#次#國家隊#戰袍,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O
25,挑戰#過#亞運#、#世錦賽#、#亞錦賽,O O O O O O O O O O O O O O O O O O O
26,穩紮穩打#成為#國家隊#、#台電隊#不可或缺#的#守護神,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
28,同樣#有#著#阿美族#的#血統#、#同樣#愛#打#排球,O O O O O O O O O O O O O O O O O O O O O O O O O O O
29,同樣#跟隨#腳步#挑戰#國家隊#和#企排#的#排球#殿堂,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
34,每每#得分#贏#球#的#一#笑,O O O O O O O O O O O O O O O
35,迷妹#們#也#忍不住#「#姨母#笑#」#噴發,O O O O O O O O O O O O O O O O O O O O O O
38,別#看#李尼希米#頂#著#一#頭#大#捲髮,O O O O B-PERSON I-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O
39,黑#到#發亮#的#皮膚#讓#不#熟悉#排球#的#人#以為#球隊#找來#強力#外援,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
44,升上#高中#後#不只#在#聯賽#大放異彩,O O O O O O O O O O O O O O O O O O O O
45,更#被#選為#中華#台北#U19#代表隊,O O O O O O O O O O O O O O O O O O O O
47,李尼希米#才#加入#企排#第一#年,B-PERSON I-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O
49,在#場#上#和#隊友#配合#得宜,O O O O O O O O O O O O O O O O
51,看到#他#得分#時#放聲#大吼#、#攻擊#起跳#的#爆發力,O O O O O O O O O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O O
52,加上#那#閃閃#發亮#的#笑容,O O O O O O O O O O O O O O O
53,這#鮮肉#寶物#還#不#先#搶起來#收藏,O O O O O O O O O O O O O O O O O O O O
55,加上#穿#衣精瘦#脫衣#有#肉#的#修長#身材,O O O O O O O O O O O O O O O O O O O O O O O
56,焦璿誠#宛如#校園#最#風雲#的#排球#學長,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O
57,一#走出來#就#會#迷倒#一#票#妹子,O O O O O O O O O O O O O O O O O O O
58,綽號#阿焦#的#他#自#高中#就讀#排球#強#校#豐原#高商#時#就#人氣#爆棚,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
60,也#早早#就#加入#企排#和#U20#、#亞俱賽#陣容,O O O O O O O O O O O O O O O O O O O O O O O O O O O
62,常#看#比賽#的#人#一定#有#發現,O O O O O O O O O O O O O O O O O O
63,焦璿誠#在#攻擊#時#有#著#他#特有#的#「#弓身#」#加#手勢,B-PERSON I-PERSON I-PERSON O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O O O O O O O
64,每#一#次#起跳#像是#沒有#集滿#全力,O O O O O O O O O O O O O O O O O O O O
65,卻#在#一連串#流暢#的#攻擊#步伐#和#重扣#裡#打爆#對手,O O O O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O B-ATTACK I-ATTACK O O O O O O O O
68,得分#後#他#總是#靦腆#一#笑,O O O O O O O O O O O O O O O O
69,企排鹽系#男孩#94#你#啊,O O O O O O O O O O O O O O
71,靠#著#陳菀婷#、#林書荷#的#精彩#表現,O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O O O
72,中華#一#隊#13:9#領先,O O O O O O O O O O O O O O
74,菲律賓#只#靠#中華#發球#失誤#拿分,O O O O O O O O O O O O O O O O O O O
77,第二#局#雖然#菲律賓#先馳得點,O O O O O O O O O O O O O O O O
79,25:14#取得#聽牌,O O O O O O O O O O O
84,直落#三#拿下#勝利,O O O O O O O O O O
90,也#是#新#的#經驗,O O O O O O O O O O
91,我#原本#以為#第一#場#會#是#國內賽,O O O O O O O O O O O O O O O O O O O O
92,像是#企排#之類#的,O O O O O O O O O O
93,陳菀婷#說,B-PERSON I-PERSON I-PERSON O O
96,還#有#攔網#太#早#、#節奏#太#快#的#問題#要#修正,O O O O B-DEFENSE I-DEFENSE O O O O O O O O O O O O O O O O O O O O O O O
98,也#已經#感覺到#很#不#一樣#的#感覺,O O O O O O O O O O O O O O O O O O O O
100,吸收#更#好#的#技術,O O O O O O O O O O O
105,也#會#去#執行,O O O O O O O O
107,「#這#個#邀請賽#是#自己#復出#的#第一#個#國際賽事,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
109,就算#遇到#中華#二#隊#中國人#纖,O O O O O O O O O O O O O O O O O O
110,也#還是#照#打#啊,O O O O O O O O O O
115,今日#更#是#飛撲救球#直#衝#大會#播報#台,O O O O O O O B-DEFENSE I-DEFENSE I-DEFENSE I-DEFENSE O O O O O O O O O O O O
116,贏得#現場#觀眾#掌聲#敬佩,O O O O O O O O O O O O O O
119,開季#至今#球隊#有#漸入佳境,O O O O O O O O O O O O O O O
120,也#慢慢#能#與#其他#隊伍#相#抗衡,O O O O O O O O O O O O O O O O O O O
121,許美中#說,B-PERSON I-PERSON I-PERSON O O
124,才#能#創造#最#大#的#得分#機會,O O O O O O O O O O O O O O O O O O
125,若是#能#針對#配球#再#調整,O O O O O O O O O O O O O O O
127,第二#場#比賽#conti#面對到#男子組#老大哥#台電#公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
128,球員#卯足#拚勁#攻守,O O O O O O O O O O O
129,前#兩#局#也#將#比分#逼近,O O O O O O O O O O O O O O O
130,但#在#第二#局#conti#隊#郭家銘#飛越場#邊#電子#看板#救球,O O O O O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O B-DEFENSE I-DEFENSE
135,第二#局#一度#將#比分#超前,O O O O O O O O O O O O O O O
136,但#郭家銘#為了#救球#越過#電子#看板#撞#牆#落地#後,O O B-PERSON I-PERSON I-PERSON O O O O B-DEFENSE I-DEFENSE O O O O O O O O O O O O O O O O O O
140,「#其實#今天#球員#表現#狀況#還#不錯,O O O O O O O O O O O O O O O O O O O O O
141,只#可惜#在#第二#局#郭家銘#受傷#後,O O O O O O O O O O O O O O O O O O O O
143,林顯丞#表示,B-PERSON I-PERSON I-PERSON O O O
148,提前#暖身,O O O O O
149,企業#排球#聯賽#14日#第一#場#男子組#賽事,O O O O O O O O O O O O O O O O O O O O O O O O
150,由#桃園#臺灣#產險隊#出戰#conti#隊,O O O O O O O O O O O O O O O O O O O O O O
151,猶如#上#週#許美中#所#言,O O O O O O O B-PERSON I-PERSON I-PERSON O O O O
152,桃園#臺產隊#越#打#越#上手,O O O O O O O O O O O O O O O
157,洪熙鈞#也#在#這#場#比賽#攻得#全#隊#最#高#分#21#分,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
158,也#讓#桃園#臺產隊#以#直落#三#的#比數#帶走#一#勝#戰績,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
159,長力#男排隊#隊長#盧清銓#表示,O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O
160,上#半#季#賽程#接近#尾聲,O O O O O O O O O O O O O O
