sent_id,sent,anno
21,但#其實#超#強攻擊#背後#往往#都#有#靈活#、#穩定#的#自由#球員#當#靠山,O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
26,穩紮穩打#成為#國家隊#、#台電隊#不可或缺#的#守護神,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
39,黑#到#發亮#的#皮膚#讓#不#熟悉#排球#的#人#以為#球隊#找來#強力#外援,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
48,前途#一#片#看好,O O O O O O O O O
49,在#場#上#和#隊友#配合#得宜,O O O O O O O O O O O O O O O O
55,加上#穿#衣精瘦#脫衣#有#肉#的#修長#身材,O O O O O O O O O O O O O O O O O O O O O O O
73,並且#連#得#3#分,O O O O O O O O O O
82,雖然#連續#失誤#被#追近,O O O O O O O O O O O O O
86,極速#超跑#今年#也#新#加入#許多#球員,O O O O O O O O O O O O O O O O O O O O O
94,「#隊友#在#這#場#的#表現#在#接發球#的#時候,O O O O O O O O O O O O O O O O O O B-DEFENSE I-DEFENSE I-DEFENSE O O O O O
99,「#給#我們#更多#想法,O O O O O O O O O O O O
122,「#得分#其實#是#其次,O O O O O O O O O O O O
123,最#重要#的#還是#靠#著#隊友#幫助#、#舉球,O O O O O O O O O O O O O O O O O B-COOPERATION I-COOPERATION O O O B-ATTACK I-ATTACK
127,第二#場#比賽#conti#面對到#男子組#老大哥#台電#公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
128,球員#卯足#拚勁#攻守,O O O O O O O O O O O
172,睽違#三#週#回到#企聯#比賽場#上,O O O O O O O O O O O O O O O O O O
175,提振#球隊#士氣,O O O O O O O O
178,氣勢#遭#逆轉#吞敗,O O O O O O O O O O
190,變#得#比較#敢#打,O O O O O O O O O O
199,在#今日#一#展#士氣#、#阻斷#台電#女排#連勝#戰績,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
200,教練#曾華鈺#表示,O O O B-PERSON I-PERSON I-PERSON O O O
204,都#有#成功#在#今天#拿下#分數,O O O O O O O O O O O O O O O O O
210,頻頻#在#發球#、#攻擊#上#發生#失誤,O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O
223,想盡#快#回到#場#上#替#球隊#建功,O O O O O O O O O O O O O O O O O O O
303,也#在#下#半#賽季#重返#企排,O O O O O O O O O O O O O O O O
305,過頭#了,O O O O
310,不過#去年#2月#賽季#初期#一#次#練習#時#不慎#造成#右手#脫臼,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
313,劉煜淳#說,B-PERSON I-PERSON I-PERSON O O
325,但是#我#還#不能#做#太多#太#激烈#、#動作#太#大#、#或是#攔網#、#單手#救球#等#動作,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-DEFENSE I-DEFENSE O O O O O O B-DEFENSE I-DEFENSE O O O O O
335,跟#大家#一起#就#很#開心,O O O O O O O O O O O O O O
337,但#不行#做#的#還是#不行,O O O O O O O O O O O O O O
345,只是#沒有#在#替補#席,O O O O O O O O O O O O
355,陳姿雅#、#張秝芸#2#人#相互#大砲猛攻,B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O O O B-ATTACK I-ATTACK I-ATTACK I-ATTACK
356,率#球隊#以#25#比#17#、#25#比#14#搶先#聽#牌,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
360,以#25#比#22#驚險#拿勝,O O O O O O O O O O O O O O O
371,「#一#開局#因為#失誤#太多#導致#大家#情緒#低落,O O O O O O O O O O O O O O O O O O O O O O O O O O O
372,幸好#在#黃芯瑜#的#連續#4#顆#發球#帶動#球隊#反攻#氣勢,O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O
373,才#能#逆轉#贏得#比賽,O O O O O O O O O O O O
376,幾#波#精彩#防守#帶動#現場#氣氛,O O O O O O O B-DEFENSE I-DEFENSE O O O O O O O O O
384,2018年#印尼#亞加達#亞運#中華#男排#睽違#20#年,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
391,中華#男排#在#亞運#擊敗#卡達,O O O O O O O O O O O O O O O O
